Här är den extraherade texten från alla bilder, sammanfogad och strukturerad efter innehåll:

**INNEHÅLL / STRUKTUR**

**Avsnitt:**
1.  Det perfekta tillfället
2.  Ingen enkel match
3.  Skyskrapor
4.  Äta bör man annars dör man
5.  "En dag satt en ödla på katedern"
6.  Vårt uppkopplade liv
7.  Många människor på liten yta!
8.  Utvärdering
9.  Jag heter Kim. Min bror Sam och jag kommer att ge dig tips och hjälpa dig med arbetet.

**VAD DU ARBETAR MED (Läsmål):**
*   Du läser en kort novell skriven i tredje person. Du arbetar med att välja lässtrategi.
*   Du läser en kort novell skriven i jag-form. Du arbetar med att använda rätt strategi för att läsa mellan raderna.
*   Du läser en faktatext. Du tränar på att växla mellan sökläsning och att läsa mellan raderna.
*   Du läser en faktatext som handlar om matvanor och hur kroppen påverkas av det vi äter. Du tränar på att använda sökläsning och på att använda dels fakta ur en text, dels egna erfarenheter för att på bästa sätt dra egna slutsatser.
*   Du läser ett lite längre reportage. Du tränar sökläsning, att läsa mellan raderna och att dra egna slutsatser.
*   Du läser en faktatext som handlar om hur vi läser och delar saker på nätet och vilken betydelse det har att vi är källkritiska. Du tränar på att använda sökläsning och på att läsa mellan raderna. Du tränar på att använda faktauppgifter ur en text för att förbättra skrivuppgifter.
*   Du läser två faktarutor med statistik och tränar på att använda sökläsning för att hitta fakta. Du tränar också på att använda faktarutorna för att förbättra skrivuppgifter.
*   Här fyller du i – tillsammans med din lärare eller ensam – hur du tycker att du har utvecklats som läsare. Du skriver också ner vad du kan utveckla för att bli en ännu bättre läsare.

**Instruktion:**
*   Kom ihåg att läsa alla instruktioner noggrant. Annars är det risk att du gör fel bara för att du har för bråttom!

---

**TEXTER & UPPSATSER**

**Text 1: "Det perfekta tillfället" (Berättelse i tredje person)**
*   **Introduktion:** Petter tycker att Sofia är söt. Han vågar inte berätta det för henne. En dag på ett café bestämmer han sig för att äntligen våga berätta.
*   **Innehåll:** Petter iakttar Sofia på ett café. Caféägaren tvingar honom att beställa något, så han köper en torr kaka. Han låtsas läsa i sin skolbok och väntar på rätt tillfälle att prata med Sofia, som sitter med kompisar. När Sofia blir ensam kvar får han mod av en gammal farbror att gå fram. Han är nervös, spelar förvånad över att se henne och erbjuder henne slutligen den torra kakan. Texten avslutas med att han säger "... den kanske är lite torr."

**Text 2: "Ingen enkel match" (Berättelse i jag-form)**
*   **Introduktion:** En tjej provar att träna karate. Hennes föräldrar tycker inte att det är en sport som passar för tjejer. Hon märker att det är roligt och att hon är bra på det.
*   **Innehåll:** Berättaren (en tjej) och hennes syster Fanny tvingas av sin mamma att gå på ett sportlovsprogram. De provar yoga (lyckas inte) och ridning (allergi). När de ska prova kampsport backar Fanny ur. Berättaren bestämmer sig för att gå, delvis för att hennes föräldrar säger att kampsport "inte är något för tjejer", vilket irriterar henne. Hon provar karate och fastnar. På sin första träning känner hon sig utpekad som den enda tjejen men får stöd av tränaren. Hon tränar hårt och blir bättre. Hennes första match är mot Adrian, en kille som är längre och starkare. Innan matchen säger han att det blir en "enkel match" eftersom hon är tjej, vilket gör henne extra "taggad" (laddad/motiverad). Hon vinner matchen och känner sig stolt över att ha bevisat att hon inte är någon "enkel match" och att tjejer kan hålla på med kampsport. Efter det kommenterar ingen hennes kön på träningen.

**Text 3: "Skyskrapor" (Faktatext)**
*   **Innehåll:** Text om skyskrapor, som definieras som mycket höga byggnader. Människor har alltid byggt högt, förr för att hedra gudar, idag för utrymme och prestige ("skrytskrapor"). Höjd räknas till taket eller spiran (inte TV-master). Det finns ingen exakt definition; omgivningen avgör (ett 15-våningshus kan vara en skyskrapa i en småstad men inte i Tokyo). Burj Khalifa (828 m) är nuvarande högsta. Jeddah Tower i Saudiarabien planeras bli minst 1 km hög. Historiker menar att det fanns tidiga versioner av skyskrapor i Italien redan på 1100-talet (fästningar med höga torn).
*   **Ordförklaringar:**
    *   **hedra:** visa att man tycker något är bra
    *   **skrytskrapor:** skyskrapor som är extra höga eller häftiga för att visa att man har pengar
    *   **prestige och status:** gör att man verkar vara mer värd än andra
    *   **definition:** en exakt beskrivning som avgör
    *   **siktar på:** försöker bli
    *   **står färdig:** är färdigbyggd
    *   **fästning:** en stor byggnad som skyddar

---

**FRÅGOR & UPPSATSER OM LÄSSTRATEGIER**

**Frågor kring "Det perfekta tillfället":**
*   Varför är Petter på caféet?
*   Vad tror du Petter känner medan han sitter vid sitt bord?
*   Vad gör Petter medan han väntar?
*   Varför tror du Petter ger en torr kaka till Sofia? (Svaret står inte tydligt i texten, man måste läsa mellan raderna. Exempel på tankegång: "Jag tror att Petter är nervös och försöker komma på ett sätt så att han kan stanna och prata med Sofia.")

**Frågor kring "Ingen enkel match":**
*   Varför blev hon extra taggad när Adrian försökte "psyka henne"?
*   Hon säger att det bästa med att vinna var att hon fick bevisa att hon inte var "en enkel match". Vad får henne att känna så? (Exempel på tankegång: "Jag tänkte på att hon flera gånger säger att det inte finns typiska tjej- eller killsporter. Jag tänkte att hon nog ville bevisa att tjejer inte är lättare att vinna över bara för att de är tjejer.")

**Övning: Identifiera frågor som kräver läsning mellan raderna:**
*   [ ] Vem var det som tvingade dem att gå till Aktivitetshuset? (Sökläsning)
*   [X] Vilka reaktioner fick hon när hon kom till sin första träning? (Läsa mellan raderna / Dra slutsatser)
*   [ ] När personen som berättar var liten provade hon några sporter. Vilka då? (Sökläsning)
*   [ ] Vad heter den kampsport som hon fastnade för? (Sökläsning)

**Lista över Lässtrategier:**
*   [ ] leta i texten efter svaret (sökläsa)
*   [ ] dra slutsatser av det som står på flera ställen i texten
*   [ ] ta reda på vad ord och uttryck som du inte förstår betyder
*   [ ] klura ut svaret med hjälp av sådant som du själv vet
*   [ ] läsa mellan raderna och tolka det som är gömt i texten

**Exempel på elevstrategier:**
*   **Elev A:** "Jag letar efter svaren i texten genom att sökläsa. Jag letar efter ordet café."
